condition,ROI_ID,channel,distance_reference_px,raw_mean,filtered,normalized,profile_stack_SD
UV,M4_002,Lab_a,-6.800000000000054,8.982183456420898,9.051841496664892,0.5308714812926842,0.7088061571121216
UV,M4_002,Lab_a,-6.600000000000055,9.052793502807617,9.151675798484092,0.5386804389282492,0.682305634021759
UV,M4_002,Lab_a,-6.400000000000055,9.156367301940918,9.256531454333546,0.5468821627792421,0.6708020567893982
UV,M4_002,Lab_a,-6.200000000000056,9.286880493164062,9.367688428966126,0.5555767706443361,0.6882161498069763
UV,M4_002,Lab_a,-6.000000000000057,9.446930885314941,9.48565010648714,0.5648036368175476,0.7511820793151855
UV,M4_002,Lab_a,-5.8000000000000576,9.606566429138184,9.610409359097046,0.5745622037682119,0.8096634745597839
UV,M4_002,Lab_a,-5.600000000000058,9.74864387512207,9.741810594911128,0.5848403012260508,0.8551068305969238
UV,M4_002,Lab_a,-5.400000000000059,9.852583885192871,9.879866388920691,0.5956389127966244,0.8904454112052917
UV,M4_002,Lab_a,-5.20000000000006,9.968293190002441,10.024918201239283,0.6069847472114243,0.8918750882148743
UV,M4_002,Lab_a,-5.00000000000006,10.100493431091309,10.177610121152327,0.618928184608857,0.8947948813438416
UV,M4_002,Lab_a,-4.800000000000061,10.23885726928711,10.338712706137915,0.6315294973661774,0.8658155202865601
UV,M4_002,Lab_a,-4.600000000000062,10.419921875,10.508893333026291,0.6448408871545479,0.8146395087242126
UV,M4_002,Lab_a,-4.4000000000000625,10.615589141845703,10.688530028332057,0.6588919228995169,0.7511093616485596
UV,M4_002,Lab_a,-4.200000000000063,10.807662963867188,10.877632420022955,0.6736833576928659,0.6983553171157837
UV,M4_002,Lab_a,-4.000000000000064,11.019475936889648,11.075882049629184,0.6891902819729108,0.6922585368156433
UV,M4_002,Lab_a,-3.8000000000000647,11.241466522216797,11.282753986293676,0.7053716360762916,0.7014457583427429
UV,M4_002,Lab_a,-3.6000000000000654,11.459805488586426,11.497661030259732,0.7221814897171237,0.7094407677650452
UV,M4_002,Lab_a,-3.400000000000066,11.662625312805176,11.72007150202921,0.7395782553588487,0.7137191891670227
UV,M4_002,Lab_a,-3.200000000000067,11.901551246643066,11.949566520238877,0.7575291684429909,0.7448723912239075
UV,M4_002,Lab_a,-3.0000000000000675,12.144092559814453,12.185809422689465,0.7760078955269994,0.8071879744529724
UV,M4_002,Lab_a,-2.800000000000068,12.382940292358398,12.428424013583015,0.7949850108824882,0.886864960193634
UV,M4_002,Lab_a,-2.600000000000069,12.63883113861084,12.676780264322243,0.8144112341866049,0.9647955894470215
UV,M4_002,Lab_a,-2.4000000000000696,12.893146514892578,12.929700314712282,0.8341944341758987,1.0350333452224731
UV,M4_002,Lab_a,-2.2000000000000703,13.12875747680664,13.185133740220284,0.8541742283163091,1.078440546989441
UV,M4_002,Lab_a,-2.000000000000071,13.396588325500488,13.43989666358777,0.874101576326337,1.1077308654785156
UV,M4_002,Lab_a,-1.8000000000000718,13.692224502563477,13.689583833129937,0.8936319030133506,1.1176599264144897
UV,M4_002,Lab_a,-1.6000000000000725,14.033557891845703,13.928755929647426,0.9123397492674035,1.0923432111740112
UV,M4_002,Lab_a,-1.4000000000000732,14.361105918884277,14.151439286150422,0.9297578597303432,1.0378657579421997
UV,M4_002,Lab_a,-1.200000000000074,14.623218536376953,14.351882926762123,0.945436397761188,0.9160880446434021
UV,M4_002,Lab_a,-1.0000000000000746,14.838530540466309,14.525415067318795,0.9590099402142622,0.827875018119812
UV,M4_002,Lab_a,-0.8000000000000753,14.99080753326416,14.669196584595534,0.9702564131872957,0.7862353324890137
UV,M4_002,Lab_a,-0.600000000000076,15.068732261657715,14.782682590292222,0.9791331959620161,0.7260347008705139
UV,M4_002,Lab_a,-0.40000000000007674,15.071737289428711,14.867674872722704,0.9857812229502908,0.5641151666641235
UV,M4_002,Lab_a,-0.20000000000007745,15.067477226257324,14.92795801641785,0.9904965212663606,0.4010530114173889
UV,M4_002,Lab_a,-7.815970093361102e-14,15.04049015045166,14.96861687117799,0.9936768237129836,0.2944881319999695
UV,M4_002,Lab_a,0.19999999999992113,14.9964017868042,14.99519051927178,0.9957553927859925,0.2968149483203888
UV,M4_002,Lab_a,0.3999999999999204,14.982284545898438,15.012825198364661,0.9971347629968693,0.3838461637496948
UV,M4_002,Lab_a,0.5999999999999197,15.008001327514648,15.02556149995322,0.9981309861158425,0.4170761704444885
UV,M4_002,Lab_a,0.799999999999919,14.98934555053711,15.035835934262014,0.9989346439847788,0.38056066632270813
UV,M4_002,Lab_a,0.9999999999999183,15.00185775756836,15.044229038584863,0.9995911457571526,0.3294490575790405
UV,M4_002,Lab_a,1.1999999999999176,15.040030479431152,15.049456071408628,1.0,0.28826457262039185
UV,M4_002,Lab_a,1.3999999999999169,15.095348358154297,15.048579007916118,0.9999313968091937,0.2818360924720764
UV,M4_002,Lab_a,1.5999999999999162,15.14340877532959,15.03740424130448,0.9990573156820914,0.33267247676849365
UV,M4_002,Lab_a,1.7999999999999154,15.179232597351074,15.011015222996614,0.9969931882003019,0.42113837599754333
UV,M4_002,Lab_a,1.9999999999999147,15.181563377380371,14.964371136227463,0.9933447257891604,0.47845110297203064
UV,M4_002,Lab_a,2.199999999999914,15.135098457336426,14.892892807504372,0.9877537492341238,0.520295262336731
UV,M4_002,Lab_a,2.3999999999999133,15.05264949798584,14.792956907580585,0.9799368446777099,0.5939009189605713
UV,M4_002,Lab_a,2.5999999999999126,14.947701454162598,14.662231559474549,0.9697116146049516,0.6804102063179016
UV,M4_002,Lab_a,2.799999999999912,14.767722129821777,14.499814794316043,0.957007507746718,0.7043838500976562
UV,M4_002,Lab_a,2.999999999999911,14.534881591796875,14.306181146267729,0.9418616417780499,0.6909323334693909
